Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
6.25,13.59,39000,0,7,0,1,0,0
34.00,73.91,22000,0,2,1,0,0,0
26.50,57.61,53000,0,5,1,0,0,0
5.35,11.63,40000,0,5,1,0,0,1
58.50,76.36,47000,0,3,1,0,0,0
9.75,37.06,72200,1,10,0,1,0,0
8.05,11.48,49900,0,4,0,1,0,1
26.25,34.27,9000,0,3,1,0,0,0
8.11,10.59,11000,0,2,0,1,0,1
3.75,12.47,49000,0,9,0,1,1,1
5.50,18.29,95000,0,8,0,1,1,1
6.45,9.20,11000,0,4,0,1,0,0
25.50,36.38,18000,0,2,0,1,0,0
5.99,11.65,46100,0,6,0,1,0,1
27.00,35.25,16000,0,3,0,1,0,0
8.75,11.42,18000,0,3,0,1,0,0
8.95,9.57,9654,0,1,0,1,0,0
1.75,5.82,11000,0,9,0,1,0,1
3.40,11.31,24300,0,8,0,1,0,1
15.25,21.76,42163,1,4,1,0,0,0
10.25,14.62,8000,0,2,1,0,0,0
21.50,30.67,30000,0,4,1,0,0,0
19.00,27.11,41000,0,4,0,1,0,0
29.00,41.37,12000,0,4,1,0,0,0
4.50,19.55,71000,0,11,0,1,0,0
8.50,12.13,20000,0,4,0,1,1,1
100.00,130.54,30000,0,3,0,1,1,0
3.00,9.98,100000,1,9,1,0,1,1
5.75,19.12,9500,0,2,0,1,1,1
1.60,5.32,120000,0,9,1,0,1,1
5.15,17.13,36600,0,5,0,1,1,1
3.90,12.97,50000,1,5,0,1,1,0
5.50,7.85,14000,1,4,0,1,1,1
0.40,6.61,40000,1,21,0,1,1,1
2.20,8.36,120000,0,10,1,0,1,1
4.25,16.16,70000,0,5,0,1,1,1
4.80,5.13,13000,0,1,0,1,1,1
4.00,7.78,60000,1,6,0,1,1,1
4.87,9.48,35000,0,6,0,1,1,1
3.86,5.51,44000,1,4,0,1,1,1
1.00,7.41,120000,1,15,0,1,1,1
3.00,11.40,60000,0,10,1,0,1,1
1.00,14.45,60000,0,20,0,1,1,1
17.50,34.05,30000,1,6,1,0,1,1
4.50,6.42,15000,1,4,0,1,1,1
4.90,6.40,90000,0,3,1,0,1,1
3.45,14.99,47000,1,11,0,1,1,1
0.85,6.30,90000,0,15,0,1,1,1
2.15,8.17,120600,1,10,0,1,1,1
3.20,12.16,100000,2,10,0,1,1,1
4.60,6.56,60000,1,4,0,1,1,1
0.65,4.82,86000,0,15,0,1,1,1
7.20,7.20,5000,0,0,0,1,1,1
8.00,10.44,37000,0,3,1,0,1,1
5.20,5.56,14000,0,1,0,1,1,1
5.80,6.20,70000,0,5,1,0,1,1
6.00,6.42,50000,0,5,0,1,1,1
2.90,5.64,60000,1,6,0,1,1,1
5.50,7.18,50000,0,3,0,1,1,1
3.75,8.15,70000,0,7,0,1,1,1
4.20,9.13,35000,0,2,0,1,1,0
5.50,7.18,20000,0,3,0,1,1,1
2.70,3.52,20000,0,2,0,1,1,1
7.00,9.14,7800,0,2,0,1,1,0
5.00,6.53,20000,0,3,0,1,1,1
12.50,13.37,15000,0,1,1,0,1,1
3.20,6.96,31377,1,7,0,1,1,1
7.00,15.22,50000,0,2,1,0,1,1
2.90,6.30,60000,0,5,0,1,1,1
5.50,11.96,100000,0,8,0,1,1,0
2.65,5.76,60000,0,8,0,1,1,1
8.30,18.04,5000,0,2,0,1,1,0
8.00,10.44,60000,0,3,1,0,1,1
1.60,5.32,25000,1,9,0,1,1,1
3.35,11.14,30000,0,2,0,1,1,1
3.29,4.29,80000,1,3,0,1,1,1
7.75,10.12,75000,0,3,1,0,1,1
5.24,5.24,32000,0,0,0,1,1,1
2.45,2.45,40000,0,5,0,1,1,1
2.75,2.75,93000,1,8,0,1,1,1
5.20,5.20,60000,0,2,0,1,1,1
5.50,10.70,37000,0,6,0,1,1,1
9.10,17.71,15000,0,2,0,1,1,1
3.00,5.84,80000,0,5,0,1,1,1
3.50,4.99,140000,0,4,0,1,1,1
9.00,19.57,70000,0,7,1,0,1,1
3.00,6.52,120000,1,7,1,0,1,1
2.50,9.50,110000,1,10,1,0,1,1
11.00,14.36,37000,0,3,1,0,1,1
